Name,Price,Description,Stock,Categories,Tags
Metapod,£148.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,285 in stock,"['Cocoon', 'Pokemon']","['Cocoon', 'metapod', 'Shed Skin']"
Butterfree,£162.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",242 in stock,"['Butterfly', 'Pokemon']","['Butterfly', 'butterfree', 'Compound Eyes']"
Weedle,£25.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,65 in stock,"['Hairy Bug', 'Pokemon']","['Hairy Bug', 'Shield Dust', 'weedle']"
Kakuna,£148.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",260 in stock,"['Cocoon', 'Pokemon']","['Cocoon', 'kakuna', 'Shed Skin']"
Beedrill,£168.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",125 in stock,"['Poison Bee', 'Pokemon']","['beedrill', 'Poison Bee', 'Swarm']"
Pidgey,£159.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",175 in stock,"['Pokemon', 'Tiny Bird']","['Keen Eye', 'pidgey', 'Tiny Bird']"
Pidgeotto,£84.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",120 in stock,"['Bird', 'Pokemon']","['Bird', 'Keen Eye', 'pidgeotto']"
Pidgeot,£185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",90 in stock,"['Bird', 'Pokemon']","['Bird', 'Keen Eye', 'pidgeot']"
Rattata,£128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",16 in stock,"['Mouse', 'Pokemon']","['Mouse', 'rattata', 'Run Away']"
Raticate,£60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",204 in stock,"['Mouse', 'Pokemon']","['Mouse', 'raticate', 'Run Away']"
Spearow,£133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",46 in stock,"['Pokemon', 'Tiny Bird']","['Keen Eye', 'spearow', 'Tiny Bird']"
Fearow,£95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,276 in stock,"['Beak', 'Pokemon']","['Beak', 'fearow', 'Keen Eye']"
Ekans,£55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,120 in stock,"['Pokemon', 'Snake']","['ekans', 'Shed Skin', 'Snake']"
Arbok,£182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",248 in stock,"['Cobra', 'Pokemon']","['arbok', 'Cobra', 'Shed Skin']"
Pikachu,£37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,254 in stock,"['Mouse', 'Pokemon']","['Mouse', 'pikachu', 'Static']"
Raichu,£140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,215 in stock,"['Mouse', 'Pokemon']","['Mouse', 'raichu', 'Static']"
Sandshrew,£82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",100 in stock,"['Mouse', 'Pokemon']","['Mouse', 'Sand Veil', 'sandshrew']"
Sandslash,£155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",236 in stock,"['Mouse', 'Pokemon']","['Mouse', 'Sand Veil', 'sandslash']"
Nidorina,£28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",58 in stock,"['Poison Pin', 'Pokemon']","['nidorina', 'Poison Pin', 'Poison Point']"
Nidoqueen,£106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,153 in stock,"['Drill', 'Pokemon']","['Drill', 'nidoqueen', 'Poison Point']"
Nidorino,£179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",279 in stock,"['Poison Pin', 'Pokemon']","['nidorino', 'Poison Pin', 'Poison Point']"
Nidoking,£31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",178 in stock,"['Drill', 'Pokemon']","['Drill', 'nidoking', 'Poison Point']"
Clefairy,£160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",86 in stock,"['Fairy', 'Pokemon']","['clefairy', 'Cute Charm', 'Fairy']"
Clefable,£188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",23 in stock,"['Fairy', 'Pokemon']","['clefable', 'Cute Charm', 'Fairy']"
Vulpix,£85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",268 in stock,"['Fox', 'Pokemon']","['Flash Fire', 'Fox', 'vulpix']"
Ninetales,£52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,215 in stock,"['Fox', 'Pokemon']","['Flash Fire', 'Fox', 'ninetales']"
Jigglypuff,£61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",136 in stock,"['Balloon', 'Pokemon']","['Balloon', 'Cute Charm', 'jigglypuff']"
Wigglytuff,£130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",260 in stock,"['Balloon', 'Pokemon']","['Balloon', 'Cute Charm', 'wigglytuff']"
Zubat,£125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",154 in stock,"['Bat', 'Pokemon']","['Bat', 'Inner Focus', 'zubat']"
Golbat,£136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",52 in stock,"['Bat', 'Pokemon']","['Bat', 'golbat', 'Inner Focus']"
Oddish,£45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",296 in stock,"['Pokemon', 'Weed']","['Chlorophyll', 'oddish', 'Weed']"
Gloom,£178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",74 in stock,"['Pokemon', 'Weed']","['Chlorophyll', 'gloom', 'Weed']"
Vileplume,£170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",283 in stock,"['Flower', 'Pokemon']","['Chlorophyll', 'Flower', 'vileplume']"
Paras,£168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,192 in stock,"['Mushroom', 'Pokemon']","['Effect Spore', 'Mushroom', 'paras']"
Parasect,£27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",17 in stock,"['Mushroom', 'Pokemon']","['Effect Spore', 'Mushroom', 'parasect']"
Venonat,£158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",177 in stock,"['Insect', 'Pokemon']","['Compound Eyes', 'Insect', 'venonat']"
Venomoth,£53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",22 in stock,"['Poison Moth', 'Pokemon']","['Poison Moth', 'Shield Dust', 'venomoth']"
Diglett,£122.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",227 in stock,"['Mole', 'Pokemon']","['diglett', 'Mole', 'Sand Veil']"
Dugtrio,£111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",290 in stock,"['Mole', 'Pokemon']","['dugtrio', 'Mole', 'Sand Veil']"
Meowth,£131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",203 in stock,"['Pokemon', 'Scratch Cat']","['meowth', 'Pickup', 'Scratch Cat']"
Persian,£200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,108 in stock,"['Classy Cat', 'Pokemon']","['Classy Cat', 'persian', 'Technician']"
Psyduck,£182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",214 in stock,"['Duck', 'Pokemon']","['Damp', 'Duck', 'psyduck']"
Golduck,£31.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",278 in stock,"['Duck', 'Pokemon']","['Damp', 'Duck', 'golduck']"
Mankey,£125.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",209 in stock,"['Pig Monkey', 'Pokemon']","['mankey', 'Pig Monkey', 'Vital Spirit']"
Primeape,£86.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",68 in stock,"['Pig Monkey', 'Pokemon']","['Pig Monkey', 'primeape', 'Vital Spirit']"
Growlithe,£30.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",243 in stock,"['Pokemon', 'Puppy']","['growlithe', 'Intimidate', 'Puppy']"
Arcanine,£69.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",14 in stock,"['Legendary', 'Pokemon']","['arcanine', 'Intimidate', 'Legendary']"
Poliwag,£174.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",217 in stock,"['Pokemon', 'Tadpole']","['Damp', 'poliwag', 'Tadpole']"
Poliwhirl,£121.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",139 in stock,"['Pokemon', 'Tadpole']","['Damp', 'poliwhirl', 'Tadpole']"
Poliwrath,£152.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",216 in stock,"['Pokemon', 'Tadpole']","['Damp', 'poliwrath', 'Tadpole']"
Abra,£141.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",116 in stock,"['Pokemon', 'Psi']","['abra', 'Inner Focus', 'Psi']"
Kadabra,£129.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",195 in stock,"['Pokemon', 'Psi']","['Inner Focus', 'kadabra', 'Psi']"
Alakazam,£40.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",142 in stock,"['Pokemon', 'Psi']","['alakazam', 'Inner Focus', 'Psi']"
Machop,£166.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,173 in stock,"['Pokemon', 'Superpower']","['Guts', 'machop', 'Superpower']"
Machoke,£27.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",10 in stock,"['Pokemon', 'Superpower']","['Guts', 'machoke', 'Superpower']"
Machamp,£121.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",242 in stock,"['Pokemon', 'Superpower']","['Guts', 'machamp', 'Superpower']"
Bellsprout,£74.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",257 in stock,"['Flower', 'Pokemon']","['bellsprout', 'Chlorophyll', 'Flower']"
Weepinbell,£26.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",46 in stock,"['Flycatcher', 'Pokemon']","['Chlorophyll', 'Flycatcher', 'weepinbell']"
Victreebel,£68.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",119 in stock,"['Flycatcher', 'Pokemon']","['Chlorophyll', 'Flycatcher', 'victreebel']"
Tentacool,£186.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,66 in stock,"['Jellyfish', 'Pokemon']","['Clear Body', 'Jellyfish', 'tentacool']"
Tentacruel,£65.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,175 in stock,"['Jellyfish', 'Pokemon']","['Clear Body', 'Jellyfish', 'tentacruel']"
Geodude,£32.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",77 in stock,"['Pokemon', 'Rock']","['geodude', 'Rock', 'Rock Head']"
Graveler,£182.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",86 in stock,"['Pokemon', 'Rock']","['graveler', 'Rock', 'Rock Head']"
Golem,£103.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",151 in stock,"['Megaton', 'Pokemon']","['golem', 'Megaton', 'Rock Head']"
Ponyta,£53.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,41 in stock,"['Fire Horse', 'Pokemon']","['Fire Horse', 'ponyta', 'Run Away']"
Rapidash,£98.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",194 in stock,"['Fire Horse', 'Pokemon']","['Fire Horse', 'rapidash', 'Run Away']"
Slowpoke,£109.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",57 in stock,"['Dopey', 'Pokemon']","['Dopey', 'Oblivious', 'slowpoke']"
Slowbro,£179.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",289 in stock,"['Hermit Crab', 'Pokemon']","['Hermit Crab', 'Oblivious', 'slowbro']"
Magnemite,£100.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,16 in stock,"['Magnet', 'Pokemon']","['magnemite', 'Magnet', 'Sturdy']"
Magneton,£191.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",152 in stock,"['Magnet', 'Pokemon']","['Magnet', 'magneton', 'Sturdy']"
Farfetchd,£185.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",158 in stock,"['Pokemon', 'Wild Duck']","['farfetchd', 'Keen Eye', 'Wild Duck']"
Doduo,£73.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",227 in stock,"['Pokemon', 'Twin Bird']","['doduo', 'Run Away', 'Twin Bird']"
Dodrio,£138.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",118 in stock,"['Pokemon', 'Triple Bird']","['dodrio', 'Run Away', 'Triple Bird']"
Seel,£164.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",250 in stock,"['Pokemon', 'Sea Lion']","['Sea Lion', 'seel', 'Thick Fat']"
Dewgong,£70.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,62 in stock,"['Pokemon', 'Sea Lion']","['dewgong', 'Sea Lion', 'Thick Fat']"
Grimer,£147.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,201 in stock,"['Pokemon', 'Sludge']","['grimer', 'Sludge', 'Stench']"
Muk,£187.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",220 in stock,"['Pokemon', 'Sludge']","['muk', 'Sludge', 'Stench']"
Shellder,£138.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",23 in stock,"['Bivalve', 'Pokemon']","['Bivalve', 'Shell Armor', 'shellder']"
Cloyster,£199.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",39 in stock,"['Bivalve', 'Pokemon']","['Bivalve', 'cloyster', 'Shell Armor']"
Gastly,£179.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",151 in stock,"['Gas', 'Pokemon']","['Gas', 'gastly', 'Levitate']"
Haunter,£42.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",181 in stock,"['Gas', 'Pokemon']","['Gas', 'haunter', 'Levitate']"
Gengar,£149.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",159 in stock,"['Pokemon', 'Shadow']","['gengar', 'Levitate', 'Shadow']"
Onix,£37.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",286 in stock,"['Pokemon', 'Rock Snake']","['onix', 'Rock Head', 'Rock Snake']"
Drowzee,£40.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",253 in stock,"['Hypnosis', 'Pokemon']","['drowzee', 'Hypnosis', 'Insomnia']"
Hypno,£198.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",222 in stock,"['Hypnosis', 'Pokemon']","['hypno', 'Hypnosis', 'Insomnia']"
Krabby,£64.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",147 in stock,"['Pokemon', 'River Crab']","['krabby', 'River Crab', 'Shell Armor']"
Kingler,£72.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",271 in stock,"['Pincer', 'Pokemon']","['kingler', 'Pincer', 'Shell Armor']"
Voltorb,£189.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,245 in stock,"['Ball', 'Pokemon']","['Ball', 'Static', 'voltorb']"
Electrode,£100.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,230 in stock,"['Ball', 'Pokemon']","['Ball', 'electrode', 'Static']"
Exeggcute,£126.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",144 in stock,"['Egg', 'Pokemon']","['Chlorophyll', 'Egg', 'exeggcute']"
Exeggutor,£68.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",292 in stock,"['Coconut', 'Pokemon']","['Chlorophyll', 'Coconut', 'exeggutor']"
Cubone,£177.00,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",242 in stock,"['Lonely', 'Pokemon']","['cubone', 'Lonely', 'Rock Head']"
Marowak,£36.00,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,295 in stock,"['Bone Keeper', 'Pokemon']","['Bone Keeper', 'marowak', 'Rock Head']"
Hitmonlee,£73.00,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",269 in stock,"['Kicking', 'Pokemon']","['hitmonlee', 'Kicking', 'Limber']"
Hitmonchan,£91.00,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,163 in stock,"['Pokemon', 'Punching']","['hitmonchan', 'Keen Eye', 'Punching']"
Lickitung,£142.00,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",291 in stock,"['Licking', 'Pokemon']","['Licking', 'lickitung', 'Oblivious']"
Koffing,£38.00,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",110 in stock,"['Poison Gas', 'Pokemon']","['koffing', 'Levitate', 'Poison Gas']"
Weezing,£48.00,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",117 in stock,"['Poison Gas', 'Pokemon']","['Levitate', 'Poison Gas', 'weezing']"
Rhyhorn,£124.00,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",138 in stock,"['Pokemon', 'Spikes']","['rhyhorn', 'Rock Head', 'Spikes']"
Rhydon,£27.00,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",73 in stock,"['Drill', 'Pokemon']","['Drill', 'rhydon', 'Rock Head']"
Chansey,£176.00,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",151 in stock,"['Egg', 'Pokemon']","['chansey', 'Egg', 'Natural Cure']"
Tangela,£64.00,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",91 in stock,"['Pokemon', 'Vine']","['Chlorophyll', 'tangela', 'Vine']"
Kangaskhan,£164.00,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",35 in stock,"['Parent', 'Pokemon']","['Early Bird', 'kangaskhan', 'Parent']"
Horsea,£154.00,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",88 in stock,"['Dragon', 'Pokemon']","['Dragon', 'horsea', 'Swift Swim']"
